Site,LEC,# of DS1s,City,State,County,Lat,Long,NPA-NXX,Zip,Technology,MSC Location
DA 4119-3-1-0307-KEETER,EMBARQCOMM,3,SPRINGTOWN,TX,WISE,32-59-57.7,-97-37-11.8,,76082,NON-LTE,ARLINGTON
DA 4119-3-1-0313 GRAYSON_COLLEGE,ATT,3,DENISON,TX,GRAYSON,33-42-19.3,-96-37-41.3,,75020,NON-LTE,ARLINGTON
DA 4119-3-1-0328-CARVER_HIGH_SCHOOL,ATT,3,WACO,TX,MCLENNAN,31-34-51.8,-97-07-36.3,,76704,NON-LTE,ARLINGTON
DA 4119-3-1-0336-WEST_NTX,ATT,3,WEST,TX,MCLENNAN,31-48-32.8,-97-05-57.7,,76691,NON-LTE,ARLINGTON
DA 4119-4-1-0005-ALVORD,EMBARQCOMM,3,ALVORD,TX,WISE,33-21-21,-97-41-12,940-427,76225,NON-LTE,LONESTAR
DA 4119-4-1-0007-BOWIE,ATT,3,BOWIE,TX,MONTAGUE,33-32-53,-97-52-19,940-872,76230,NON-LTE,LONESTAR
DA 4119-4-1-0014-MEMORIAL_STADIUM,ATT,3,WICHITA FALLS,TX,WICHITA,33-51-40,-98-35-17,940-692,76310,NON-LTE,LONESTAR
DA 4119-4-1-0021-BURKBURNETT,ATT,3,BURKBURNETT,TX,WICHITA,34-5-28,-98-33-36,940-569,76354,NON-LTE,LONESTAR
DA 4119-4-1-0033-COMMERCE_CITY,EMBARQCOMM,3,COMMERCE,TX,HUNT,33-14-32,-95-55-23,903-468,75428,NON-LTE,LONESTAR
DA 4119-4-1-0135-BIG_SIS_CREEK,ATT,3,WASKOM,TX,HARRISON,32-29-26,-94-09-10,903-753,75692,NON-LTE,LONESTAR
DA 4119-4-1-0140-HOUSTON_STREET,ATT,3,MARSHALL,TX,HARRISON,32-32-36,-94-20-47,903-935,75672,NON-LTE,LONESTAR
DA 4119-4-1-0141-MARSHALL_EAST_LOOP,ATT,3,MARSHALL,TX,HARRISON,32-32-41,-94-17-46,903-935,75672,NON-LTE,LONESTAR
DA 4119-4-1-0142-SCOTTSVILLE,ATT,3,SCOTTSVILLE,TX,HARRISON,32-32-03,-94-14-28,908-938,75672,NON-LTE,LONESTAR
DA 4119-4-1-0143-SOUTH_WASHINGTON,ATT,3,MARSHALL,TX,HARRISON,32-29-38,-94-21-42,903-935,75672,NON-LTE,LONESTAR
DA 4119-4-1-0144-SOUTHWEST_ROAD,ATT,3,MARSHALL,TX,HARRISON,32-31-35,-94-23-43,903-753,75670,NON-LTE,LONESTAR
DA 4119-4-1-0146-WASKOM,EASTTEXTEL,3,WASKOM,TX,HARRISON,32-28-27,-94-02-58,903-687,75692,NON-LTE,LONESTAR
DA 4119-4-1-0150-ATHENS,EMBARQCOMM,3,ATHENS,TX,HENDERSON,32-12-12,-95-50-57,903-677,75751,NON-LTE,LONESTAR
DA 4119-4-1-0151-BROWNSBORO,EMBARQCOMM,3,HENDERSON COUNTY,TX,HENDERSON,32-19-18,-95-38-8,903-852,75756,NON-LTE,LONESTAR
DA 4119-4-1-0152-CHANDLER,EMBARQCOMM,3,CHANDLER,TX,HENDERSON,32-18-29,-95-28-26,903-849,75758,NON-LTE,LONESTAR
DA 4119-4-1-0156-LINDALE,ATT,3,LINDALE,TX,SMITH,32-31-08,-95-23-48,940-882,75771,NON-LTE,LONESTAR
DA 4119-4-1-0163-PINE_TRAIL_ESTATES,EMBARQCOMM,3,FLINT,TX,SMITH,32-12-08,-95-27-37,903-825,75762,NON-LTE,LONESTAR
DA 4119-4-1-0164-AIRPORT_ROAD,ATT,3,TYLER,TX,SMITH,32-21-15,-95-21-29,903-592,75702,NON-LTE,LONESTAR
DA 4119-4-1-0167-THE_WOODS,ATT,3,TYLER,TX,SMITH,32-18-36,-95-13-34,903-566,75707,NON-LTE,LONESTAR
DA 4119-4-1-0170-SWAN,MW,3,TYLER,TX,SMITH,32-24-24.5,-95-20-25.8,903-592,75706,NON-LTE,LONESTAR
DA 4119-4-1-0174-OWENTOWN,ATT,3,SMITH CO,TX,SMITH,32-26-05,-95-11-45,903-877,75708,NON-LTE,LONESTAR
DA 4119-4-1-0175-CUMBERLAND_ROAD,ATT,3,TYLER,TX,SMITH,32-15-10,-95-19-10,903-561,75703,NON-LTE,LONESTAR
DA 4119-4-1-0176-BARBEE_ROAD,ATT,3,WHITEHOUSE,TX,SMITH,32-16-02,-95-15-11,903-561,75707,NON-LTE,LONESTAR
DA 4119-4-1-0181-GOLD_BRANCH,EMBARQCOMM,3,LARUE,TX,HENDERSON,32-9-11,-95-44-26,903-675,75770,NON-LTE,LONESTAR
DA 4119-4-1-0184-FLINT,EMBARQCOMM,3,FLINT,TX,SMITH,32-12-23,-95-22-13,903-894,75762,NON-LTE,LONESTAR
DA 4119-4-1-0186-ARP,EMBARQCOMM,3,ARP,TX,SMITH,32-14-32.6,-95-02-32.0,,75750,NON-LTE,LONESTAR
DA 4119-4-1-0190-ATLANTIC_CAMP,ATT,3,LONGVIEW,TX,GREGG,32-30-50,-94-49-36,903-759,75604,NON-LTE,LONESTAR
DA 4119-4-1-0191-FERGUSON_LAKE,ATT,3,LONGVIEW,TX,GREGG,32-27-02,-94-42-14,903-753,75602,NON-LTE,LONESTAR
DA 4119-4-1-0192-GLADEWATER,ATT,3,GLADEWATER,TX,GREGG,32-32-48.6,-94-56-29.5,,75647,NON-LTE,LONESTAR
DA 4119-4-1-0193-HOWELL_CLUB_LAKE,ATT,3,TYLER,TX,SMITH,32-26-43,-95-03-46,903-877,75792,NON-LTE,LONESTAR
DA 4119-4-1-0197-LONGVIEW_HEIGHTS,ATT,3,LONGVIEW,TX,HARRISON,32-29-3,-94-40-59,903-753,75602,NON-LTE,LONESTAR
DA 4119-4-1-0209-GOLDEN_ROAD,ATT,3,TYLER ,TX,SMITH,32-19-57,-95-16-15,,75701,NON-LTE,LONESTAR
DA 4119-4-1-0220-BRIDGEPORT,EMBARQCOMM,3,BRIDGEPORT,TX,WISE,33-13-48,-97-45-45,940-683,76426,NON-LTE,LONESTAR
DA 4119-4-1-0229-SQUAW_CREEK,WINDSTREAM,3,TOLAR,TX,HOOD,32-20-06.2,-97-51-21.4,,76476,NON-LTE,LONESTAR
DA 4119-4-1-0230-GRANBURY_SOUTHWEST,ATT,3,GRANBURY,TX,HOOD,32-24-16.09,-97-49-01.14,,76048,NON-LTE,LONESTAR
DA 4119-4-1-0231-TOLAR,WINDSTREAM,3,TOLAR,TX,HOOD,32-23-39.61,-97-54-05.78,,76476,NON-LTE,LONESTAR
DA 4119-4-1-0235-LAKE_BRIDGEPORT,EMBARQCOMM,3,LAKE BRIDGEPORT,TX,WISE,33-12-08.7,-97-49-42.3,,76426,NON-LTE,LONESTAR
DA 4119-2-1-0110-FORNEY,ATT,2,FORNEY,TX,KAUFMAN,32-45-11.4,-96-27-40.9,,75126,NON-LTE,ARLINGTON
DA 4119-2-1-0156-MYRTLE_SPRINGS,ATT,2,WILLS POINT,TX,VAN ZANDT,32-37-27.5,-95-59-45.9,903-873,75169,NON-LTE,ARLINGTON
DA 4119-2-1-0157-OAKLAND,MW,2,CANTON,TX,VAN ZANDT,32-33-23.5,-95-47-43.9,903-829,75103,NON-LTE,ARLINGTON
DA 4119-2-1-0175-MUSTANG_CREEK,MW,2,WAXAHACHIE,TX,ELLIS,32-20-28,-96-43-48,972-937,75165,NON-LTE,ARLINGTON
DA 4119-2-1-0178-KEMP,EMBARQCOMM,2,KAUFMAN CO,TX,KAUFMAN,32-27-36,-96-14-25,903-498,75142,NON-LTE,ARLINGTON
DA 4119-2-1-0179-KAUFMAN,EMBARQCOMM,2,KAUFMAN,TX,KAUFMAN,32-33-56,-96-18-35,972-932,75142,NON-LTE,ARLINGTON
DA 4119-2-1-0181-SEAGOVILLE_WT,ATT,2,SEAGOVILLE,TX,DALLAS,32-38-19,-96-32-25,972-287,75159,NON-LTE,ARLINGTON
DA 4119-3-1-0154-ALVARADO_NORTH,MW,2,ALVARADO,TX,JOHNSON,32-26-58,-97-16-25,817-783,76009,NON-LTE,ARLINGTON
DA 4119-3-1-0158-WAXAHACHIE_NORTH,MW,2,WAXAHACHIE,TX,ELLIS,32-27-37,-96-50-57,972-923,75165,NON-LTE,ARLINGTON
DA 4119-3-1-0163-ABBOTT,ATT,2,ABBOTT,TX,HILL,31-52-47,-97-05-32,817-582,76622,NON-LTE,ARLINGTON
DA 4119-3-1-0202-MCLENNAN_COMMUNITY_COLLEGE,ATT,2,WACO,TX,MCLENNAN,31-35-19.3,-97-10-43.2,254-752,76708,NON-LTE,ARLINGTON
DA 4119-3-1-0211-ROBINSON,ATT,2,ROBINSON,TX,MCLENNAN,31-27-39,-97-06-43,254-662,76706,NON-LTE,ARLINGTON
DA 4119-3-1-0221-GLEN_ROSE,WINDSTREAM,2,GLENROSE,TX,SOMERVELL,32-14-59,-97-44-00,254-897,76043,NON-LTE,ARLINGTON
DA 4119-3-1-0244 GRAYSON_AIRPORT_WT,ATT,2,DENISON,TX,GRAYSON,33-42-37.7,-96-39-53.8,,75020,NON-LTE,ARLINGTON
DA 4119-3-1-0272-MART,ATT,2,MART,TX,LIMESTONE,31-33-37,-96-49-36,,76664,NON-LTE,ARLINGTON
DA 4119-3-1-0273-RIESEL,WINDSTREAM,2,RIESEL,TX,MCLENNAN,31-28-10,-96-55-16,,76682,NON-LTE,ARLINGTON
DA 4119-3-1-0292-ALVARADO,MW,2,ALVARADO,TX,JOHNSON,32-25-17,-97-12-42,,76009,NON-LTE,ARLINGTON
DA 4119-3-1-0310-HALLSBURG,ATT,2,RIESEL,TX,MCLENNAN,31-17-17,-96-53-36,254-875,76682,NON-LTE,ARLINGTON
DA 4119-3-1-0329-HERRING_AVENUE,ATT,2,WACO,TX,MCLENNAN,31-34-06.54,-97-09-19.55,,76708,NON-LTE,ARLINGTON
DA 4119-3-1-0334-NEW_SALEM,EMBARQCOMM,2,SANTO,TX,PALO PINTO,32-36-16.4,-98-06-50.4,,76472,NON-LTE,ARLINGTON
DA 4119-3-1-0382-DENISON_CENTRAL,ATT,2,DENISON,TX,GRAYSON,33-45-00.48,-96-33-11.30,,75020,NON-LTE,ARLINGTON
DA 4119-4-1-0004-WICHITA_FALLS_SOUTH,ATT,2,WICHITA FALLS,TX,WICHITA,33-50-15,-98-30-54,,73062,NON-LTE,LONESTAR
DA 4119-4-1-0006-SUNSET_CITY,EMBARQCOMM,2,SUNSET,TX,MONTAGUE,33-28-14,-97-46-50,940-845,76270,NON-LTE,LONESTAR
DA 4119-4-1-0018-IOWA_PARK,ATT,2,IOWA PARK,TX,WICHITA,33-56-55,-98-40-22,940-592,76367,NON-LTE,LONESTAR
DA 4119-4-1-0019-FOWLKES,ATT,2,ELECTRA,TX,WICHITA,33-59-26,-98-49-34,940-592,76360,NON-LTE,LONESTAR
DA 4119-4-1-0030-CAMPBELL,PEOPLESTEL,2,CAMPBELL,TX,HUNT,33-8-0,-95-56-44,903-862,75422,NON-LTE,LONESTAR
DA 4119-4-1-0031-NEYLANDVILLE,ATT,2,GREENVILLE,TX,HUNT,32-12-10,-96-0-11,903-454,75401,NON-LTE,LONESTAR
DA 4119-4-1-0134-KEOKUK,ATT,2,MARSHALL,TX,HARRISON,32-31-18,-94-29-42,903-938,75650,NON-LTE,LONESTAR
DA 4119-4-1-0136-BRANDY_BRANCH,ATT,2,MARSHALL,TX,HARRISON,32-29-23,-94-28-10,903-931,75670,NON-LTE,LONESTAR
DA 4119-4-1-0137-BUCK_SHERROD,ATT,2,MARSHALL,TX,HARRISON,32-29-58.8,-94-16-01.7,903-935,75672,NON-LTE,LONESTAR
DA 4119-4-1-0145-SUE_BELLE_LAKE,ATT,2,MARSHALL,TX,HARRISON,32-34-18,-94-22-27,903-753,75670,NON-LTE,LONESTAR
DA 4119-4-1-0153-MURCHISON,EMBARQCOMM,2,MURCHISON,TX,HENDERSON,32-15-35,-95-46-26,903-469,75751,NON-LTE,LONESTAR
DA 4119-4-1-0154-STOCKARD,EMBARQCOMM,2,ATHENS,TX,HENDERSON,32-16-55,-95-57-33,903-425,75751,NON-LTE,LONESTAR
DA 4119-4-1-0160-MOUNT_SYLVAN,MW,2,TYLER,TX,SMITH,32-27-44.5,-95-27-26.9,903-882,75771,NON-LTE,LONESTAR
DA 4119-4-1-0165-NOONDAY,ATT,2,TYLER,TX,SMITH,32-15-27,-95-23-22,903-561,75703,NON-LTE,LONESTAR
DA 4119-4-1-0166-OVERTON_ROAD,ATT,2,TYLER,TX,SMITH,32-21-16,-95-14-38,817-592,75707,NON-LTE,LONESTAR
DA 4119-4-1-0172-TYLER_EAST,ATT,2,TYLER,TX,SMITH,32-23-24,-95-16-36,903-592,75708,NON-LTE,LONESTAR
DA 4119-4-1-0173-TYLER_CENTRAL,ATT,2,TYLER,TX,SMITH,32-21-03,-95-18-37,903-592,75702,NON-LTE,LONESTAR
DA 4119-4-1-0180-POYNOR,EMBARQCOMM,2,POYNER,TX,HENDERSON,32-5-27,-95-37-24,903-876,75782,NON-LTE,LONESTAR
DA 4119-4-1-0183-BULLARD,EMBARQCOMM,2,BULLARD,TX,SMITH,32-08-39,-95-20-0,903-894,75757,NON-LTE,LONESTAR
DA 4119-4-1-0185-NEW_CHAPEL_HILL,ATT,2,TYLER,TX,SMITH,32-17-22.75,-95-07-59.80,903-566,75707,NON-LTE,LONESTAR
DA 4119-4-1-0187-TURNERTOWN,ATT,2,TURNERTOWN,TX,RUSK,32-11-20.7,-94-57-03.7,,75689,NON-LTE,LONESTAR
DA 4119-4-1-0201-PLEASANT_HILL,ATT,2,LONGVIEW,TX,GREGG,32-37-31,-94-43-46,903-753,75605,NON-LTE,LONESTAR
DA 4119-4-1-0202-ROLLING_MEADOWS,ATT,2,KILGORE,TX,GREGG,32-25-59,-94-47-14,903-753,75603,NON-LTE,LONESTAR
DA 4119-4-1-0226-ATHENS_SOUTHWEST,EMBARQCOMM,2,ATHENS,TX,HENDERSON,32-10-32.3,-95-53-29.2,,75751,NON-LTE,LONESTAR
DA 4119-4-1-0228-COMANCHE_PEAK,WINDSTREAM,2,GLEN ROSE,TX,SOMERVELL,32-17-23.9,-97-47-55.0,,75043,NON-LTE,LONESTAR
DA 4119-4-1-0238-SAINT_JO,EMBARQCOMM,2,SAINT JO,TX,MONTAGUE,33-41-37,-97-30-21,,76265,NON-LTE,LONESTAR
DA 4119-4-1-0239-MONTAGUE_CITY,WINDSTREAM,2,MONTAGUE,TX,MONTAGUE,33-39-03,-97-43-26,,76230,NON-LTE,LONESTAR
DA 4119-4-1-0240-BONITA,WINDSTREAM,2,NOCONA,TX,MONTAGUE,33-45-01,-97-36-09,,76255,NON-LTE,LONESTAR
DA 4119-4-1-0241-NOCONA_WT,WINDSTREAM,2,NOCONA,TX,MONTAGUE,33-47-19,-97-43-26,,76255,NON-LTE,LONESTAR
DA 4119-4-1-0242-LAKE_NOCONA,WINDSTREAM,2,NOCONA,TX,MONTAGUE,33-51-39,-97-38-24,,76255,NON-LTE,LONESTAR
DA 4119-4-1-0243-BELCHERVILLE,WINDSTREAM,2,RINGGOLD,TX,MONTAGUE,33-48-40,-97-54-11,,76261,NON-LTE,LONESTAR
DA 4119-4-1-0251-GORDON_EAST,ATT,2,GORDON,TX,PALO PINTO,32-32-38.6,-98-17-36.8,,76453,NON-LTE,LONESTAR
DA 4119-4-1-0258-GLASS,WINDSTREAM,2,GLEN ROSE,TX,SOMERVELL,32-11-29.6,-97-49-58.3,,76043,NON-LTE,LONESTAR
DA 4119-4-1-0259-GLEN_ROSE_WEST,WINDSTREAM,2,GLEN ROSE,TX,SOMERVELL,32-13-29.48,-97-46-57.95,,76043,NON-LTE,LONESTAR
DA 4119-2-1-0155-TERRELL,MICROWAVE,1,TERRELL,TX,KAUFMAN,32-40-06,-96-11-37,903-873,75161,NON-LTE,ARLINGTON
DA 4119-2-1-0220-ANGUS,MW,1,CORSICANA,TX,NAVARRO,32-05-25,-96-27-51,903-872,75110,NON-LTE,ARLINGTON
DA 4119-2-1-0221-RICHLAND,MW,1,RICHLAND,TX,NAVARRO,31-55-35,-96-25-30,903-362,76681,NON-LTE,ARLINGTON
DA 4119-2-1-0327-NORTHWOOD_UNIVERSITY,ATT,1,CEDAR HILL,TX,DALLAS,32-36-29.68,-96-58-09.69,,75104,NON-LTE,ARLINGTON
DA 4119-3-1-0006-SPENCER_RT,MW,1,DENTON,TX,DENTON,33-11-54,-97-06-24,940-381,76205,NON-LTE,ARLINGTON
DA 4119-3-1-0156-GRANDVIEW,MW,1,GRANDVIEW,TX,HILL,32-15-06,-97-10-14,817-866,76050,NON-LTE,ARLINGTON
DA 4119-3-1-0157-ITASCA_REPL,MW,1,ITASCA,TX,HILL,32-08-53.6,-97-08-23.38,,76055,NON-LTE,ARLINGTON
DA 4119-3-1-0159-WAXAHACHIE_SOUTH,MW,1,WAXAHACHIE,TX,ELLIS,32-20-02,-96-51-37,972-923,75167,NON-LTE,ARLINGTON
DA 4119-3-1-0160-ITALY,MW,1,ITALY,TX,ELLIS,32-11-52,-96-54-09,972-483,76651,NON-LTE,ARLINGTON
DA 4119-3-1-0161-MILFORD,MW,1,MILFORD,TX,HILL,32-05-55,-97-00-22,972-493,76670,NON-LTE,ARLINGTON
DA 4119-3-1-0162-HILLSBORO,MW,1,HILLSBORO,TX,HILL,31-59-38,-97-05-35,817-582,76645,NON-LTE,ARLINGTON
DA 4119-3-1-0164-ROSS,MW,1,ROSS,TX,MCLENNAN,31-44-57,-97-06-12,817-829,76691,NON-LTE,ARLINGTON
DA 4119-3-1-0167-LORENA,MW,1,LORENA,TX,MCLENNAN,31-24-42,-97-12-35,254-857,76655,NON-LTE,ARLINGTON
DA 4119-3-1-0172-DECATUR_EAST,EMBARQCOMM,1,DECATUR,TX,WISE,33-14-36,-97-31-37,940-627,76234,NON-LTE,ARLINGTON
DA 4119-3-1-0199-MCGREGOR,MW,1,MCGREGOR,TX,MCLENNAN,31-26-40,-97-23-37,254-840,76657,NON-LTE,ARLINGTON
DA 4119-3-1-0201-FAIRGROUNDS,ATT,1,WACO,TX,MCLENNAN,31-32-02.4,-97-10-55.3,254-772,76710,NON-LTE,ARLINGTON
DA 4119-3-1-0206-CRAWFORD_NORTHWEST,MW,1,CRAWFORD,TX,MCLENNAN,31-33-50.4,-97-28-50.0,,76638,NON-LTE,ARLINGTON
DA 4119-3-1-0212-SPEEGLEVILLE,MW,1,WACO,TX,MCLENNAN,31-33-48.2,-97-15-39.9,254-848,76712,NON-LTE,ARLINGTON
DA 4119-3-1-0254-HILLSBORO_NORTHWEST,MW,1,HILLSBORO,TX,HILL,32-01-12,-97-08-16,254-580,76645,NON-LTE,ARLINGTON
DA 4119-3-1-0285-SILVER_CREEK,MW,1,WEATHERFORD,TX,PARKER,32-51-31,-97-38-04,817-444,76085,NON-LTE,ARLINGTON
DA 4119-3-1-0333-SPEEGLEVILLE_WEST,MW,1,CRAWFORD,TX,MCLENNAN,31-35-03.88,-97-22-49.85,,76638,NON-LTE,ARLINGTON
DA 4119-3-1-0339-LACY_LAKEVIEW,ATT,1,WACO,TX,MCLENNAN,31-38-46.9,-97-06-01.4,,76705,NON-LTE,ARLINGTON
DA 4119-4-1-0159-CARROLL,MW,1,LINDALE,TX,SMITH,32-29-14,-95-32-49,903-882,75771,NON-LTE,LONESTAR
DA 4119-4-1-0171-TYLER_STATE_PARK,MW,1,TYLER,TX,SMITH,32-27-18,-95-17-05,903-592,75706,NON-LTE,LONESTAR
DA 4119-ARLINGTON_MSC,808 110th St,,ARLINGTON,TX,TARRANT,32-45-19,-97-03-02,,76011,,
DA 4119-LONESTAR_MSC,2170 Lonestar,,DALLAS,TX,DALLAS,32-46-08.99,-96-51-23.04,,75212,,
